multiplier_dissatisfied,multiplier_neutral,multiplier_satisfied,macro_f1,accuracy,balanced_accuracy,ordinal_mae,recall_dissatisfied,recall_neutral,recall_satisfied,outer_fold,base_variant
1.2,1.5,1.0,0.5888498123178646,0.7004389173372348,0.5785265080325684,0.32644476956839796,0.32216494845360827,0.6522911051212938,0.7611234705228032,5,class_weight_dissatisfied_3_neutral_2
2.0,1.2,1.0,0.5881573098464163,0.707205559619605,0.5990686843111753,0.3372348207754206,0.46134020618556704,0.5283018867924528,0.8075639599555061,5,class_weight_dissatisfied_3_neutral_2
2.0,1.5,1.0,0.5875755716188601,0.6912948061448427,0.5998555033762192,0.34692757863935625,0.4329896907216495,0.616576819407008,0.75,5,class_weight_dissatisfied_3_neutral_2
2.0,1.0,1.0,0.5806806053010155,0.7130577907827359,0.5923606477018608,0.33686905632772496,0.4793814432989691,0.45148247978436656,0.8462180200222469,5,class_weight_dissatisfied_3_neutral_2
2.5,1.5,1.0,0.5796669684996547,0.682882223847842,0.6069620483291772,0.3650329188002926,0.4845360824742268,0.5963611859838275,0.7399888765294772,5,class_weight_dissatisfied_3_neutral_2
1.0,1.5,1.0,0.5784885763138976,0.6995245062179956,0.5660894245799365,0.32589612289685443,0.27835051546391754,0.6576819407008087,0.7622358175750834,5,class_weight_dissatisfied_3_neutral_2
2.0,2.0,1.0,0.5746689754735387,0.6565471836137527,0.5924578509528309,0.3719824433065106,0.3865979381443299,0.7392183288409704,0.6515572858731924,5,class_weight_dissatisfied_3_neutral_2
2.5,1.2,1.0,0.5743160627898548,0.6955010972933431,0.6011520953695028,0.3597293343087052,0.5051546391752577,0.5026954177897575,0.7956062291434928,5,class_weight_dissatisfied_3_neutral_2
2.5,2.0,1.0,0.5725052640842346,0.6523408924652524,0.6040207516744371,0.38533284564740306,0.44329896907216493,0.7230458221024259,0.6457174638487208,5,class_weight_dissatisfied_3_neutral_2
2.5,1.0,1.0,0.5686675852937788,0.701353328456474,0.5977986720763985,0.36082662765179224,0.5309278350515464,0.431266846361186,0.8312013348164627,5,class_weight_dissatisfied_3_neutral_2
1.5,2.0,1.0,0.5642459388071491,0.6580102414045355,0.5724748953807414,0.3650329188002926,0.30670103092783507,0.7547169811320755,0.6560066740823137,5,class_weight_dissatisfied_3_neutral_2
1.2,2.0,1.0,0.5529922769723318,0.6583760058522312,0.5586764177675128,0.3621068032187271,0.25257731958762886,0.7654986522911051,0.6579532814238043,5,class_weight_dissatisfied_3_neutral_2
1.0,2.0,1.0,0.5373813719189829,0.6569129480614484,0.5442965031073151,0.36137527432333577,0.2036082474226804,0.7702156334231806,0.6590656284760845,5,class_weight_dissatisfied_3_neutral_2
