experiment,variant,fold,cv_splits,model,rows,train_rows_after_sampling,predictors,fit_seconds,predict_seconds,total_seconds,note,macro_f1,accuracy,balanced_accuracy,ordinal_mae,class_weight,recall_dissatisfied,recall_neutral,recall_satisfied,base_class_weight_variant,multiplier_dissatisfied,multiplier_neutral,multiplier_satisfied
class_weight_search,class_weight_dissatisfied_3_neutral_2,4,5,Extra Trees,6834,5467,20,3.816210300021339,0.076096500037238,3.892306800058577,"Manual class weights: {0: 3, 1: 2, 2: 1}.",0.5913592128378098,0.7278712509144111,0.5704563277026489,0.3094367227505486,"{'dissatisfied': 3, 'neutral': 2, 'satisfied': 1}",0.32989690721649484,0.5283018867924528,0.8531701890989989,,,,
class_weight_search,class_weight_dissatisfied_3_neutral_2,5,5,Extra Trees,6834,5468,20,3.9683961999835446,0.07469109998783097,4.043087299971376,"Manual class weights: {0: 3, 1: 2, 2: 1}.",0.5573279178129442,0.726207906295754,0.5372348931177399,0.29941434846266474,"{'dissatisfied': 3, 'neutral': 2, 'satisfied': 1}",0.25,0.48517520215633425,0.8765294771968855,,,,
class_weight_search,class_weight_dissatisfied_4_neutral_2,1,5,Extra Trees,6834,5467,20,3.938220000010915,0.07221490005031228,4.010434900061227,"Manual class weights: {0: 4, 1: 2, 2: 1}.",0.6274228322105478,0.7395757132406731,0.6162422142738295,0.2970007315288954,"{'dissatisfied': 4, 'neutral': 2, 'satisfied': 1}",0.4639175257731959,0.5283018867924528,0.8565072302558399,,,,
class_weight_search,class_weight_dissatisfied_4_neutral_2,2,5,Extra Trees,6834,5467,20,3.8892459999769926,0.0726097000297159,3.9618557000067085,"Manual class weights: {0: 4, 1: 2, 2: 1}.",0.5830726525371179,0.7307973664959766,0.569200508167685,0.3006583760058522,"{'dissatisfied': 4, 'neutral': 2, 'satisfied': 1}",0.3402061855670103,0.49865229110512127,0.8687430478309233,,,,
class_weight_search,class_weight_dissatisfied_4_neutral_2,3,5,Extra Trees,6834,5467,20,3.9863751000375487,0.07617669994942844,4.062551799986977,"Manual class weights: {0: 4, 1: 2, 2: 1}.",0.6173916574951367,0.7410387710314558,0.5981627238419295,0.29626920263350404,"{'dissatisfied': 4, 'neutral': 2, 'satisfied': 1}",0.3917525773195876,0.5417789757412399,0.8609566184649611,,,,
class_weight_search,class_weight_dissatisfied_4_neutral_2,4,5,Extra Trees,6834,5467,20,4.009195199992973,0.07501630001934245,4.084211500012316,"Manual class weights: {0: 4, 1: 2, 2: 1}.",0.5907066435537911,0.7205559619604974,0.5767998205671827,0.31894659839063644,"{'dissatisfied': 4, 'neutral': 2, 'satisfied': 1}",0.38144329896907214,0.5013477088948787,0.8476084538375973,,,,
class_weight_search,class_weight_dissatisfied_4_neutral_2,5,5,Extra Trees,6834,5468,20,4.290420500037726,0.078118400007952,4.368538900045678,"Manual class weights: {0: 4, 1: 2, 2: 1}.",0.5505606034953064,0.718887262079063,0.5329346777608212,0.30600292825768666,"{'dissatisfied': 4, 'neutral': 2, 'satisfied': 1}",0.2604166666666667,0.46630727762803237,0.8720800889877642,,,,
class_weight_search,class_weight_dissatisfied_5_neutral_2,1,5,Extra Trees,6834,5467,20,4.7949334000004455,0.07399060000898317,4.868924000009429,"Manual class weights: {0: 5, 1: 2, 2: 1}.",0.6215834277696832,0.7359180687637161,0.6158708755486303,0.3013899049012436,"{'dissatisfied': 5, 'neutral': 2, 'satisfied': 1}",0.4742268041237113,0.5202156334231806,0.8531701890989989,,,,
class_weight_search,class_weight_dissatisfied_5_neutral_2,2,5,Extra Trees,6834,5467,20,3.990364600031171,0.07266789994901046,4.0630324999801815,"Manual class weights: {0: 5, 1: 2, 2: 1}.",0.5842075633350656,0.7271397220190198,0.5749604569746425,0.3057790782735918,"{'dissatisfied': 5, 'neutral': 2, 'satisfied': 1}",0.3711340206185567,0.49056603773584906,0.8631813125695217,,,,
class_weight_search,class_weight_dissatisfied_5_neutral_2,3,5,Extra Trees,6834,5467,20,3.971282100013923,0.09030579996760935,4.061587899981532,"Manual class weights: {0: 5, 1: 2, 2: 1}.",0.6118207127152852,0.7403072421360644,0.5971637535364679,0.29846378931967815,"{'dissatisfied': 5, 'neutral': 2, 'satisfied': 1}",0.4020618556701031,0.522911051212938,0.8665183537263627,,,,
class_weight_search,class_weight_dissatisfied_5_neutral_2,4,5,Extra Trees,6834,5467,20,3.9731636000215076,0.07677240000339225,4.0499360000249,"Manual class weights: {0: 5, 1: 2, 2: 1}.",0.59172026605465,0.7212874908558888,0.5837290829870495,0.31894659839063644,"{'dissatisfied': 5, 'neutral': 2, 'satisfied': 1}",0.41237113402061853,0.48787061994609165,0.8509454949944383,,,,
class_weight_search,class_weight_dissatisfied_5_neutral_2,5,5,Extra Trees,6834,5468,20,3.889674699981697,0.08115050004562363,3.9708252000273205,"Manual class weights: {0: 5, 1: 2, 2: 1}.",0.545462491459738,0.7181551976573939,0.5309808246725839,0.308199121522694,"{'dissatisfied': 5, 'neutral': 2, 'satisfied': 1}",0.2604166666666667,0.4582210242587601,0.8743047830923248,,,,
class_weight_search,class_weight_stronger_dissatisfied,1,5,Extra Trees,6834,5467,20,4.215244900027756,0.09595320001244545,4.311198100040201,Stronger dissatisfied weight only.,0.5842735220590041,0.7307973664959766,0.5800309136062904,0.31602048280907097,"{'dissatisfied': 4, 'neutral': 1, 'satisfied': 1}",0.4742268041237113,0.3504043126684636,0.9154616240266963,,,,
class_weight_search,class_weight_stronger_dissatisfied,2,5,Extra Trees,6834,5467,20,4.314879400015343,0.07586260000243783,4.390742000017781,Stronger dissatisfied weight only.,0.573913398623297,0.7322604242867593,0.564589874403519,0.3094367227505486,"{'dissatisfied': 4, 'neutral': 1, 'satisfied': 1}",0.4020618556701031,0.37735849056603776,0.914349276974416,,,,
class_weight_search,class_weight_stronger_dissatisfied,3,5,Extra Trees,6834,5467,20,4.126247700012755,0.08291520003695041,4.209162900049705,Stronger dissatisfied weight only.,0.5743254958320564,0.7322604242867593,0.5654442594774186,0.31163130943672274,"{'dissatisfied': 4, 'neutral': 1, 'satisfied': 1}",0.422680412371134,0.3504043126684636,0.9232480533926585,,,,
class_weight_search,class_weight_stronger_dissatisfied,4,5,Extra Trees,6834,5467,20,4.164931400038768,0.07743880001362413,4.242370200052392,Stronger dissatisfied weight only.,0.5667491817964136,0.7212874908558888,0.5532235464380347,0.324067300658376,"{'dissatisfied': 4, 'neutral': 1, 'satisfied': 1}",0.4020618556701031,0.3477088948787062,0.9098998887652948,,,,
class_weight_search,class_weight_stronger_dissatisfied,5,5,Extra Trees,6834,5468,20,4.3759994999854825,0.11361479997867718,4.48961429996416,Stronger dissatisfied weight only.,0.5463881725452194,0.7342606149341142,0.528390126662316,0.2986822840409956,"{'dissatisfied': 4, 'neutral': 1, 'satisfied': 1}",0.2916666666666667,0.3557951482479784,0.9377085650723026,,,,
class_weight_search,class_weight_stronger_neutral,1,5,Extra Trees,6834,5467,20,4.946922599978279,0.086993100005202,5.033915699983481,Stronger neutral weight only.,0.5716045519995103,0.737381126554499,0.5487158831580295,0.29334308705193857,"{'dissatisfied': 1, 'neutral': 2.5, 'satisfied': 1}",0.18556701030927836,0.6118598382749326,0.8487208008898777,,,,
