model,fold,repeat,domain,features,baseline_macro_f1,permuted_macro_f1,macro_f1_drop
Logistic regression,2,2,LocationBack,LocationBack,0.3916710857748906,0.3831505191078628,0.008520566667027829
Logistic regression,2,3,LocationBack,LocationBack,0.3916710857748906,0.4033472704565771,-0.011676184681686463
Logistic regression,2,4,LocationBack,LocationBack,0.3916710857748906,0.397445493274909,-0.005774407500018397
Logistic regression,2,5,LocationBack,LocationBack,0.3916710857748906,0.37843830234171066,0.013232783433179962
Logistic regression,2,1,LocationFront,LocationFront,0.3916710857748906,0.3723035588601908,0.01936752691469984
Logistic regression,2,2,LocationFront,LocationFront,0.3916710857748906,0.38876688779564694,0.0029041979792436834
Logistic regression,2,3,LocationFront,LocationFront,0.3916710857748906,0.3868534365860432,0.004817649188847417
Logistic regression,2,4,LocationFront,LocationFront,0.3916710857748906,0.3887692142529919,0.0029018715218987468
Logistic regression,2,5,LocationFront,LocationFront,0.3916710857748906,0.3800821119167348,0.011588973858155827
Logistic regression,2,1,LocationLeft,LocationLeft,0.3916710857748906,0.3820869407203958,0.009584145054494841
Logistic regression,2,2,LocationLeft,LocationLeft,0.3916710857748906,0.3799627306280165,0.011708355146874128
Logistic regression,2,3,LocationLeft,LocationLeft,0.3916710857748906,0.38720009904795255,0.004470986726938075
Logistic regression,2,4,LocationLeft,LocationLeft,0.3916710857748906,0.3775140471234486,0.014157038651442022
Logistic regression,2,5,LocationLeft,LocationLeft,0.3916710857748906,0.3806296752037408,0.011041410571149823
Logistic regression,2,1,LocationRight,LocationRight,0.3916710857748906,0.38479318734793183,0.006877898426958795
Logistic regression,2,2,LocationRight,LocationRight,0.3916710857748906,0.3810137717355004,0.010657314039390242
Logistic regression,2,3,LocationRight,LocationRight,0.3916710857748906,0.3823191443231915,0.009351941451699153
Logistic regression,2,4,LocationRight,LocationRight,0.3916710857748906,0.3798524093306479,0.011818676444242726
Logistic regression,2,5,LocationRight,LocationRight,0.3916710857748906,0.3875487893167016,0.004122296458189012
