model,n_candidates_tested,total_grid_candidates,rank_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,mean_test_accuracy,std_test_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_fit_time,std_fit_time,params_json
Random Forest,288,288,123,0.5750556613232256,0.012064460574063358,0.696079947646951,0.008177527711473735,0.5915166320565705,0.01887218045447205,2.803038311004639,0.028333750859316303,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 16, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 10, ""model__n_estimators"": 300}"
Random Forest,288,288,134,0.574560827290426,0.01391974251691167,0.6960800547522066,0.007589939717562654,0.5911074201806084,0.020268470480332288,5.696358871459961,0.15221221983197047,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 16, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 10, ""model__n_estimators"": 600}"
Random Forest,288,288,258,0.5628864901146388,0.013195464424842674,0.7158320846645624,0.002489629814495605,0.5470536027740034,0.013123427280671092,1.4544043064117431,0.028985651057246195,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 24, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 300}"
Random Forest,288,288,251,0.5645791023678355,0.012536184778271496,0.7161251246437411,0.004223075481047816,0.5494706133916917,0.013022441864119027,2.9331940174102784,0.05779276427147688,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 24, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 600}"
Random Forest,288,288,21,0.5833920753900967,0.01662537765572605,0.7165631851389317,0.006679364859011509,0.58028263815927,0.02073366102329411,1.3140390396118165,0.006605445525419426,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 24, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 10, ""model__n_estimators"": 300}"
Random Forest,288,288,15,0.5845928714541208,0.015777323346024556,0.7184658028984824,0.005458743774817305,0.5797167409380178,0.019128549337814348,2.649795484542847,0.013289749386663822,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 24, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 10, ""model__n_estimators"": 600}"
Random Forest,288,288,5,0.5862736613142264,0.02382325335346821,0.7152461118114605,0.011497780293921536,0.586083231149329,0.02788198497315742,1.2901109218597413,0.02356948688550555,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 24, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 2, ""model__n_estimators"": 300}"
Random Forest,288,288,8,0.5858555789271853,0.018615637980195634,0.7158319775593068,0.00649782993632891,0.5857595690556446,0.023326050370336717,2.5662044525146483,0.031240551575444978,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 24, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 2, ""model__n_estimators"": 600}"
Random Forest,288,288,22,0.5830556966876344,0.01938524419483665,0.7120280273032717,0.007208416856211361,0.5849723198307336,0.02511998966334922,1.2426823616027831,0.014360492393508489,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 24, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 10, ""model__n_estimators"": 300}"
Random Forest,288,288,33,0.5820907704704005,0.015020969094602024,0.7129058619777414,0.006378911346345462,0.5829589625391614,0.02016510641009831,2.48707275390625,0.03664422837755693,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 24, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 10, ""model__n_estimators"": 600}"
