fold,repeat,domain,features,baseline_macro_f1,permuted_macro_f1,macro_f1_drop
3,3,CLO,CLO,0.6030811447385972,0.5815379131419113,0.02154323159668592
3,4,CLO,CLO,0.6030811447385972,0.5762240383457128,0.02685710639288441
3,5,CLO,CLO,0.6030811447385972,0.5823427971235088,0.020738347615088415
3,1,CO2,CO2,0.6030811447385972,0.6044489367592405,-0.0013677920206432992
3,2,CO2,CO2,0.6030811447385972,0.6059161542903472,-0.0028350095517499785
3,3,CO2,CO2,0.6030811447385972,0.6038759717488853,-0.0007948270102881017
3,4,CO2,CO2,0.6030811447385972,0.6045947278372809,-0.0015135830986836574
3,5,CO2,CO2,0.6030811447385972,0.6047121835796149,-0.0016310388410176735
3,1,Lighting,Lighting,0.6030811447385972,0.59400680978983,0.009074334948767193
3,2,Lighting,Lighting,0.6030811447385972,0.5889115680938226,0.014169576644774584
3,3,Lighting,Lighting,0.6030811447385972,0.5949314587169496,0.008149686021647562
3,4,Lighting,Lighting,0.6030811447385972,0.5935954940528112,0.009485650685785996
3,5,Lighting,Lighting,0.6030811447385972,0.5971942373074135,0.005886907431183697
3,1,Sound,Sound,0.6030811447385972,0.6091097539010432,-0.006028609162445964
3,2,Sound,Sound,0.6030811447385972,0.6124769876065214,-0.009395842867924165
3,3,Sound,Sound,0.6030811447385972,0.6068968445740326,-0.0038156998354353933
3,4,Sound,Sound,0.6030811447385972,0.6046911689757275,-0.001610024237130303
3,5,Sound,Sound,0.6030811447385972,0.6133967529173009,-0.010315608178703695
3,1,Age,Age,0.6030811447385972,0.5680281763242321,0.035052968414365115
3,2,Age,Age,0.6030811447385972,0.5552722567186558,0.04780888801994143
3,3,Age,Age,0.6030811447385972,0.5616177082511168,0.04146343648748041
3,4,Age,Age,0.6030811447385972,0.5499338450477863,0.05314729969081089
3,5,Age,Age,0.6030811447385972,0.5528476070466023,0.0502335376919949
3,1,Gender,Gender,0.6030811447385972,0.5367259741835174,0.06635517055507978
3,2,Gender,Gender,0.6030811447385972,0.5486313344839767,0.05444981025462048
3,3,Gender,Gender,0.6030811447385972,0.5423771804013264,0.060703964337270766
3,4,Gender,Gender,0.6030811447385972,0.5517680226663372,0.05131312207226002
3,5,Gender,Gender,0.6030811447385972,0.5484074045387909,0.05467374019980631
3,1,EA,EA,0.6030811447385972,0.6017356918379737,0.0013454529006234894
3,2,EA,EA,0.6030811447385972,0.602428330430724,0.0006528143078732285
3,3,EA,EA,0.6030811447385972,0.6054099323697327,-0.0023287876311355316
3,4,EA,EA,0.6030811447385972,0.6138790491452286,-0.01079790440663142
3,5,EA,EA,0.6030811447385972,0.6018361528631865,0.001244991875410717
3,1,LocationBack,LocationBack,0.6030811447385972,0.5696656869783853,0.03341545776021193
3,2,LocationBack,LocationBack,0.6030811447385972,0.556731253920015,0.04634989081858221
3,3,LocationBack,LocationBack,0.6030811447385972,0.5562845321208381,0.04679661261775914
3,4,LocationBack,LocationBack,0.6030811447385972,0.5528098838284415,0.05027126091015566
3,5,LocationBack,LocationBack,0.6030811447385972,0.5648608283250774,0.03822031641351975
3,1,LocationFront,LocationFront,0.6030811447385972,0.5261154958773403,0.0769656488612569
3,2,LocationFront,LocationFront,0.6030811447385972,0.5189321443220244,0.0841490004165728
3,3,LocationFront,LocationFront,0.6030811447385972,0.5117390163442795,0.09134212839431766
3,4,LocationFront,LocationFront,0.6030811447385972,0.5375944190947594,0.06548672564383784
3,5,LocationFront,LocationFront,0.6030811447385972,0.5377221107542222,0.06535903398437504
3,1,LocationLeft,LocationLeft,0.6030811447385972,0.5621462437018515,0.040934901036745686
3,2,LocationLeft,LocationLeft,0.6030811447385972,0.5674052665382145,0.03567587820038265
3,3,LocationLeft,LocationLeft,0.6030811447385972,0.569112408249148,0.0339687364894492
3,4,LocationLeft,LocationLeft,0.6030811447385972,0.5662234786081738,0.036857666130423405
3,5,LocationLeft,LocationLeft,0.6030811447385972,0.5568057559331213,0.04627538880547588
3,1,LocationRight,LocationRight,0.6030811447385972,0.5841227493140818,0.018958395424515384
3,2,LocationRight,LocationRight,0.6030811447385972,0.5764341452382924,0.026646999500304802
3,3,LocationRight,LocationRight,0.6030811447385972,0.5735923660081882,0.029488778730409004
3,4,LocationRight,LocationRight,0.6030811447385972,0.5815477607514818,0.02153338398711535
3,5,LocationRight,LocationRight,0.6030811447385972,0.5790786700665821,0.024002474672015106
3,1,LocationMiddle,LocationMiddle,0.6030811447385972,0.586302031011884,0.016779113726713146
3,2,LocationMiddle,LocationMiddle,0.6030811447385972,0.5769761540589408,0.026104990679656437
3,3,LocationMiddle,LocationMiddle,0.6030811447385972,0.5738176677096113,0.029263477028985907
3,4,LocationMiddle,LocationMiddle,0.6030811447385972,0.5855562502170817,0.01752489452151551
3,5,LocationMiddle,LocationMiddle,0.6030811447385972,0.5805051736548774,0.02257597108371978
3,1,Ttrend,Ttrend,0.6030811447385972,0.6079942325311428,-0.004913087792545623
3,2,Ttrend,Ttrend,0.6030811447385972,0.6066219589596638,-0.003540814221066557
3,3,Ttrend,Ttrend,0.6030811447385972,0.6037907339649918,-0.0007095892263946357
3,4,Ttrend,Ttrend,0.6030811447385972,0.6082484184053595,-0.005167273666762284
3,5,Ttrend,Ttrend,0.6030811447385972,0.6076995677538334,-0.004618423015236184
3,1,Vote hour,Vote hour,0.6030811447385972,0.6062215647182384,-0.003140419979641207
3,2,Vote hour,Vote hour,0.6030811447385972,0.6069598153388428,-0.003878670600245604
