model,fold,repeat,domain,features,baseline_macro_f1,permuted_macro_f1,macro_f1_drop
Logistic regression,2,2,Gender,Gender,0.38583240677008873,0.37022398753494307,0.015608419235145665
Logistic regression,2,3,Gender,Gender,0.38583240677008873,0.3790294895110839,0.006802917259004837
Logistic regression,2,4,Gender,Gender,0.38583240677008873,0.3832896899475277,0.0025427168225610197
Logistic regression,2,5,Gender,Gender,0.38583240677008873,0.3787341047681811,0.0070983020019076415
Logistic regression,2,1,EA,EA,0.38583240677008873,0.39697116305958186,-0.011138756289493124
Logistic regression,2,2,EA,EA,0.38583240677008873,0.38911711921888553,-0.0032847124487968005
Logistic regression,2,3,EA,EA,0.38583240677008873,0.3940815919329032,-0.008249185162814476
Logistic regression,2,4,EA,EA,0.38583240677008873,0.39038555811107384,-0.0045531513409851065
Logistic regression,2,5,EA,EA,0.38583240677008873,0.390045944327452,-0.004213537557363256
Logistic regression,2,1,LocationBack,LocationBack,0.38583240677008873,0.3776806637536467,0.008151743016442059
Logistic regression,2,2,LocationBack,LocationBack,0.38583240677008873,0.3879867982565914,-0.0021543914865026492
Logistic regression,2,3,LocationBack,LocationBack,0.38583240677008873,0.40355833801227536,-0.017725931242186632
Logistic regression,2,4,LocationBack,LocationBack,0.38583240677008873,0.38764812984891894,-0.0018157230788302114
Logistic regression,2,5,LocationBack,LocationBack,0.38583240677008873,0.3752936595541274,0.01053874721596132
Logistic regression,2,1,LocationFront,LocationFront,0.38583240677008873,0.3668809822332708,0.018951424536817918
Logistic regression,2,2,LocationFront,LocationFront,0.38583240677008873,0.3819807191622783,0.0038516876078104056
Logistic regression,2,3,LocationFront,LocationFront,0.38583240677008873,0.38666838691916183,-0.0008359801490731011
Logistic regression,2,4,LocationFront,LocationFront,0.38583240677008873,0.3828075901958951,0.003024816574193623
Logistic regression,2,5,LocationFront,LocationFront,0.38583240677008873,0.38108033058887747,0.004752076181211262
Logistic regression,2,1,LocationLeft,LocationLeft,0.38583240677008873,0.3804006382003178,0.005431768569770956
Logistic regression,2,2,LocationLeft,LocationLeft,0.38583240677008873,0.38018631727368896,0.005646089496399775
Logistic regression,2,3,LocationLeft,LocationLeft,0.38583240677008873,0.3877087182744014,-0.0018763115043126666
Logistic regression,2,4,LocationLeft,LocationLeft,0.38583240677008873,0.3773564517035715,0.008475955066517216
Logistic regression,2,5,LocationLeft,LocationLeft,0.38583240677008873,0.3778770485978678,0.007955358172220928
Logistic regression,2,1,LocationRight,LocationRight,0.38583240677008873,0.3811927879676424,0.004639618802446344
Logistic regression,2,2,LocationRight,LocationRight,0.38583240677008873,0.38174116743471576,0.004091239335372976
Logistic regression,2,3,LocationRight,LocationRight,0.38583240677008873,0.3853162602993839,0.0005161464707048591
Logistic regression,2,4,LocationRight,LocationRight,0.38583240677008873,0.3857568518438083,7.555492628041893e-05
Logistic regression,2,5,LocationRight,LocationRight,0.38583240677008873,0.3891403258739395,-0.003307919103850754
Logistic regression,2,1,LocationMiddle,LocationMiddle,0.38583240677008873,0.37882098511612666,0.007011421653962069
Logistic regression,2,2,LocationMiddle,LocationMiddle,0.38583240677008873,0.37701697110506155,0.008815435665027183
Logistic regression,2,3,LocationMiddle,LocationMiddle,0.38583240677008873,0.3751696360472751,0.01066277072281363
Logistic regression,2,4,LocationMiddle,LocationMiddle,0.38583240677008873,0.3779771048203595,0.007855301949729221
Logistic regression,2,5,LocationMiddle,LocationMiddle,0.38583240677008873,0.38020696506862633,0.005625441701462397
Logistic regression,2,1,Ttrend,Ttrend,0.38583240677008873,0.38481404947721876,0.0010183572928699758
Logistic regression,2,2,Ttrend,Ttrend,0.38583240677008873,0.3882308494453577,-0.0023984426752689525
Logistic regression,2,3,Ttrend,Ttrend,0.38583240677008873,0.3863170696241854,-0.00048466285409665133
Logistic regression,2,4,Ttrend,Ttrend,0.38583240677008873,0.38689796147110433,-0.001065554701015603
Logistic regression,2,5,Ttrend,Ttrend,0.38583240677008873,0.38648269604791335,-0.0006502892778246228
Logistic regression,2,1,Vote hour,Vote hour,0.38583240677008873,0.3727834727046437,0.01304893406544505
Logistic regression,2,2,Vote hour,Vote hour,0.38583240677008873,0.3807506868846999,0.005081719885388858
Logistic regression,2,3,Vote hour,Vote hour,0.38583240677008873,0.38019321164715175,0.00563919512293698
Logistic regression,2,4,Vote hour,Vote hour,0.38583240677008873,0.38271327306142516,0.0031191337086635684
Logistic regression,2,5,Vote hour,Vote hour,0.38583240677008873,0.3752954610570211,0.010536945713067625
Logistic regression,2,1,Vote weekday,Vote weekday,0.38583240677008873,0.3815194726140058,0.004312934156082915
Logistic regression,2,2,Vote weekday,Vote weekday,0.38583240677008873,0.38496210480223225,0.0008703019678564794
Logistic regression,2,3,Vote weekday,Vote weekday,0.38583240677008873,0.3784505314628923,0.007381875307196417
Logistic regression,2,4,Vote weekday,Vote weekday,0.38583240677008873,0.36921132703114995,0.016621079738938782
Logistic regression,2,5,Vote weekday,Vote weekday,0.38583240677008873,0.3794281421986727,0.0064042645714160185
Logistic regression,2,1,Moment,Moment,0.38583240677008873,0.39055308861028754,-0.004720681840198804
Logistic regression,2,2,Moment,Moment,0.38583240677008873,0.3894103817582543,-0.0035779749881655887
Logistic regression,2,3,Moment,Moment,0.38583240677008873,0.3939687742126248,-0.008136367442536041
Logistic regression,2,4,Moment,Moment,0.38583240677008873,0.38476519090877465,0.0010672158613140859
Logistic regression,2,5,Moment,Moment,0.38583240677008873,0.3823962013044924,0.0034362054655963092
Logistic regression,2,1,AC on/off,AC on/off,0.38583240677008873,0.3742199460080875,0.011612460762001231
Logistic regression,2,2,AC on/off,AC on/off,0.38583240677008873,0.36141902067053316,0.024413386099555567
Logistic regression,2,3,AC on/off,AC on/off,0.38583240677008873,0.36696126195239337,0.018871144817695362
Logistic regression,2,4,AC on/off,AC on/off,0.38583240677008873,0.37308600517509927,0.012746401594989465
Logistic regression,2,5,AC on/off,AC on/off,0.38583240677008873,0.36312116416029533,0.022711242609793403
Logistic regression,3,1,Student,Student,0.41623811698208324,0.4059219114782633,0.010316205503819953
Logistic regression,3,2,Student,Student,0.41623811698208324,0.3989864216322481,0.017251695349835117
Logistic regression,3,3,Student,Student,0.41623811698208324,0.39966674593117707,0.01657137105090617
Logistic regression,3,4,Student,Student,0.41623811698208324,0.3974080154586603,0.01883010152342296
Logistic regression,3,5,Student,Student,0.41623811698208324,0.41069855608252426,0.005539560899558982
Logistic regression,3,1,Temperature,Temperature,0.41623811698208324,0.3970784110974174,0.019159705884665812
Logistic regression,3,2,Temperature,Temperature,0.41623811698208324,0.39021101842826716,0.026027098553816075
Logistic regression,3,3,Temperature,Temperature,0.41623811698208324,0.4099652142100574,0.006272902772025857
Logistic regression,3,4,Temperature,Temperature,0.41623811698208324,0.38748623857567416,0.02875187840640908
Logistic regression,3,5,Temperature,Temperature,0.41623811698208324,0.39232558031939685,0.02391253666268639
Logistic regression,3,1,RH,RH,0.41623811698208324,0.41354414991384697,0.0026939670682362693
Logistic regression,3,2,RH,RH,0.41623811698208324,0.42367860890223197,-0.0074404919201487285
Logistic regression,3,3,RH,RH,0.41623811698208324,0.41471459097349195,0.0015235260085912916
Logistic regression,3,4,RH,RH,0.41623811698208324,0.4190208054587791,-0.0027826884766958826
Logistic regression,3,5,RH,RH,0.41623811698208324,0.4158744574922375,0.0003636594898457357
Logistic regression,3,1,CLO,CLO,0.41623811698208324,0.4176416476308639,-0.001403530648780682
Logistic regression,3,2,CLO,CLO,0.41623811698208324,0.4129244708107101,0.0033136461713731413
Logistic regression,3,3,CLO,CLO,0.41623811698208324,0.4142439193074303,0.00199419767465292
Logistic regression,3,4,CLO,CLO,0.41623811698208324,0.416142274967297,9.584201478624044e-05
Logistic regression,3,5,CLO,CLO,0.41623811698208324,0.42109940663937645,-0.004861289657293211
Logistic regression,3,1,CO2,CO2,0.41623811698208324,0.40523073417810257,0.01100738280398067
Logistic regression,3,2,CO2,CO2,0.41623811698208324,0.40373900214930947,0.012499114832773772
Logistic regression,3,3,CO2,CO2,0.41623811698208324,0.41102879650495244,0.005209320477130797
Logistic regression,3,4,CO2,CO2,0.41623811698208324,0.41012691933725626,0.006111197644826982
Logistic regression,3,5,CO2,CO2,0.41623811698208324,0.4159702996996599,0.000267817282423366
Logistic regression,3,1,Lighting,Lighting,0.41623811698208324,0.41363143379954126,0.00260668318254198
Logistic regression,3,2,Lighting,Lighting,0.41623811698208324,0.4132983235712934,0.002939793410789815
Logistic regression,3,3,Lighting,Lighting,0.41623811698208324,0.41271271620579003,0.0035254007762932082
Logistic regression,3,4,Lighting,Lighting,0.41623811698208324,0.4159277431837096,0.0003103737983736199
Logistic regression,3,5,Lighting,Lighting,0.41623811698208324,0.414458377623631,0.0017797393584522148
Logistic regression,3,1,Sound,Sound,0.41623811698208324,0.40778343592673094,0.008454681055352298
Logistic regression,3,2,Sound,Sound,0.41623811698208324,0.4073850582095166,0.008853058772566647
Logistic regression,3,3,Sound,Sound,0.41623811698208324,0.4151509851605564,0.0010871318215268655
Logistic regression,3,4,Sound,Sound,0.41623811698208324,0.4162434079816763,-5.290999593066115e-06
Logistic regression,3,5,Sound,Sound,0.41623811698208324,0.41336133237475786,0.0028767846073253778
Logistic regression,3,1,Age,Age,0.41623811698208324,0.41335789553917784,0.002880221442905395
Logistic regression,3,2,Age,Age,0.41623811698208324,0.4063051242056826,0.00993299277640064
